,id,type,url,content,featured,collapsed,is_author,is_delete,created_time,resource_type,reviewing,allow_like,allow_delete,allow_reply,allow_vote,can_recommend,can_collapse,author,is_parent_author,vote_count,reply_to_author,voting,disliked
0,680941019,comment,https://www.zhihu.com/api/v4/comments/680941019,有问题？在人类灭绝面前一万算什么？你可以不扔，你举报人还能拿五千，你掀警察局我看看啊,True,False,False,False,1562135770,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': 'c1e12a599f21d9de52bc7168c2adda00', 'url_token': 'si-wang-zhi-yi-65', 'name': '死亡之翼', 'avatar_url': 'https://pic1.zhimg.com/v2-1ba2cbe460ad3ee31be8f83f80dc6929_r.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/v2-1ba2cbe460ad3ee31be8f83f80dc6929_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/c1e12a599f21d9de52bc7168c2adda00', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,4,"{'role': 'author', 'member': {'id': '9464d339e4ea312c257f60a6c05b9c70', 'url_token': 'GoldenJuice', 'name': '橙汁', 'avatar_url': 'https://pic3.zhimg.com/v2-f21c3a3282d1566bf9c8659ffa4dae46_r.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-f21c3a3282d1566bf9c8659ffa4dae46_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/9464d339e4ea312c257f60a6c05b9c70', 'user_type': 'people', 'headline': '摄影师，殉道者', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,False
1,681115278,comment,https://www.zhihu.com/api/v4/comments/681115278,作为一个前执法人员我告诉你，在一个罚款都需要全程记录的世界，丢个垃圾你还罚款1w，完全是睿智的表现。还带举报？你想去纳粹的世界吗？<br>另外告诉你。中世纪欧洲，满地都是翔也只是黑死病，人类灭绝？能不能了解一下什么是环保,True,False,False,False,1562153184,answer,False,True,False,True,True,False,False,"{'role': 'author', 'member': {'id': '9464d339e4ea312c257f60a6c05b9c70', 'url_token': 'GoldenJuice', 'name': '橙汁', 'avatar_url': 'https://pic3.zhimg.com/v2-f21c3a3282d1566bf9c8659ffa4dae46_r.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-f21c3a3282d1566bf9c8659ffa4dae46_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/9464d339e4ea312c257f60a6c05b9c70', 'user_type': 'people', 'headline': '摄影师，殉道者', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,40,"{'role': 'normal', 'member': {'id': 'c1e12a599f21d9de52bc7168c2adda00', 'url_token': 'si-wang-zhi-yi-65', 'name': '死亡之翼', 'avatar_url': 'https://pic1.zhimg.com/v2-1ba2cbe460ad3ee31be8f83f80dc6929_r.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/v2-1ba2cbe460ad3ee31be8f83f80dc6929_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/c1e12a599f21d9de52bc7168c2adda00', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,False
2,674329155,comment,https://www.zhihu.com/api/v4/comments/674329155,以后喝牛奶要自己养头牛，蔬菜要自己种，喝水要自家打井，外加沉淀过滤净化。以后拉屎拉尿都要问老百姓收处理费。,False,False,False,False,1561345326,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '197cd4dae6f0416eb86f5a3524086095', 'url_token': 't0om', 'name': '有马', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/197cd4dae6f0416eb86f5a3524086095', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False}}",False,107,,False,False
3,674494210,comment,https://www.zhihu.com/api/v4/comments/674494210,<p>关键是没地，小时候外婆家倒是这样啊</p>,False,False,False,False,1561359567,answer,False,True,False,True,True,False,False,"{'role': 'author', 'member': {'id': '9464d339e4ea312c257f60a6c05b9c70', 'url_token': 'GoldenJuice', 'name': '橙汁', 'avatar_url': 'https://pic3.zhimg.com/v2-f21c3a3282d1566bf9c8659ffa4dae46_r.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-f21c3a3282d1566bf9c8659ffa4dae46_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/9464d339e4ea312c257f60a6c05b9c70', 'user_type': 'people', 'headline': '摄影师，殉道者', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,11,"{'role': 'normal', 'member': {'id': '197cd4dae6f0416eb86f5a3524086095', 'url_token': 't0om', 'name': '有马', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/197cd4dae6f0416eb86f5a3524086095', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False}}",False,False
4,676082970,comment,https://www.zhihu.com/api/v4/comments/676082970,<p>喝的易拉罐要自己炼成金属块</p>,False,False,False,False,1561534971,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '0618179f1e288181cf7c920e0842f241', 'url_token': 'ci-xiang-de-ren-94', 'name': '慈祥的人', 'avatar_url': 'https://pic2.zhimg.com/v2-f7089cec3180f0218f4d48e3ea851a50_r.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/v2-f7089cec3180f0218f4d48e3ea851a50_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/0618179f1e288181cf7c920e0842f241', 'user_type': 'people', 'headline': '没什么特别的', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,40,"{'role': 'normal', 'member': {'id': '197cd4dae6f0416eb86f5a3524086095', 'url_token': 't0om', 'name': '有马', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/197cd4dae6f0416eb86f5a3524086095', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False}}",False,False
5,676401296,comment,https://www.zhihu.com/api/v4/comments/676401296,<p>无论何时何地，扔垃圾的地方都是满负荷  你们小区没定时吗？</p>,False,False,False,False,1561563288,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': 'a63aca721702c586eb13aeb48e87d47b', 'url_token': 'hu-yibo-22', 'name': '胡一波', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/a63aca721702c586eb13aeb48e87d47b', 'user_type': 'people', 'headline': '什么都没干', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,5,,False,False
6,677580670,comment,https://www.zhihu.com/api/v4/comments/677580670,<p>哈哈哈，同感，怪倒圾德</p>,False,False,False,False,1561706786,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': 'db6c51f868630dd095cf2a1e3649385d', 'url_token': 'ji-ai-er', 'name': '吉艾尔', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/db6c51f868630dd095cf2a1e3649385d', 'user_type': 'people', 'headline': '无业游名', 'badge': [], 'gender': -1, 'is_advertiser': False}}",False,23,,False,False
7,678275725,comment,https://www.zhihu.com/api/v4/comments/678275725,对 撤桶太烦了 非要跑到指定地点去扔……,False,False,False,False,1561797383,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '41f3c6c3f601b37467af2fb866959490', 'url_token': 'cuzjessica', 'name': 'cuzJessica', 'avatar_url': 'https://pic2.zhimg.com/v2-177c48fe70c244eeb28edeba3a3fb87e_r.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/v2-177c48fe70c244eeb28edeba3a3fb87e_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/41f3c6c3f601b37467af2fb866959490', 'user_type': 'people', 'headline': '与你一同行至天光', 'badge': [], 'gender': 0, 'is_advertiser': False}}",False,25,,False,False
8,678762014,comment,https://www.zhihu.com/api/v4/comments/678762014,<p>自来水里的排污费就是用来处理污水的。</p><p>养牛种菜打井什么的你想多了。</p>,False,False,False,False,1561866768,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '5d3e77daff9b18c72ab7318c6a88842f', 'url_token': 'jacques-chen-95', 'name': 'Jacques Chen', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/5d3e77daff9b18c72ab7318c6a88842f', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,1,"{'role': 'normal', 'member': {'id': '197cd4dae6f0416eb86f5a3524086095', 'url_token': 't0om', 'name': '有马', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/197cd4dae6f0416eb86f5a3524086095', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False}}",False,False
9,678860913,comment,https://www.zhihu.com/api/v4/comments/678860913,撤桶是为了省下人力成本。从这点就可以看出这次强行实施垃圾分类的目的。,False,False,False,False,1561876320,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '10d293a65cc61fd2b5ba85620d81c6e9', 'url_token': 'qin-min-zhen-28', 'name': '爱吃兔摧毁停车场', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/10d293a65cc61fd2b5ba85620d81c6e9', 'user_type': 'people', 'headline': '去tmd的儒家', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,29,,False,False
